"customer_id","explanation"
"SYNID0100009213","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100009417","Risk decreased by: total_amount, num_emt, num_wire."
"SYNID0100009470","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100009541","Risk decreased by: num_eft, num_transactions, max_amount."
"SYNID0100009578","Risk decreased by: income, num_abm, num_cheque."
"SYNID0100009762","Risk decreased by: num_eft, max_amount, std_amount."
"SYNID0100009956","Risk decreased by: max_amount, num_transactions, num_wire."
"SYNID0100010089","Risk decreased by: total_amount, num_eft, max_amount."
"SYNID0100010329","Risk decreased by: income, num_eft, num_emt."
"SYNID0100010571","Risk decreased by: income, num_transactions, num_cheque."
"SYNID0100010698","Risk decreased by: num_eft, num_transactions, num_abm."
"SYNID0100011209","Risk decreased by: num_abm, num_transactions, num_emt."
"SYNID0100011315","Risk decreased by: num_transactions, num_cheque, num_abm."
"SYNID0100011481","Risk decreased by: num_transactions, num_emt, num_wire."
"SYNID0100011849","Risk decreased by: income, total_amount, num_wire."
"SYNID0100012045","Risk decreased by: num_eft, max_amount, total_amount."
"SYNID0100012111","Risk decreased by: num_eft, income, num_transactions."
"SYNID0100012205","Risk decreased by: total_amount, num_eft, num_transactions."
"SYNID0100012410","Risk decreased by: num_cheque, num_emt, num_transactions."
"SYNID0100012464","Risk decreased by: total_amount, num_wire, num_emt."
"SYNID0100012512","Risk decreased by: num_abm, num_eft, num_transactions."
"SYNID0100012539","Risk decreased by: income, total_amount, num_wire."
"SYNID0100013163","Risk decreased by: income, num_transactions, num_cheque."
"SYNID0100013722","Risk decreased by: num_eft, num_cheque, num_transactions."
"SYNID0100013886","Risk decreased by: num_transactions, max_amount, num_card."
"SYNID0100014085","Risk decreased by: num_eft, num_cheque, num_abm."
"SYNID0100014233","Risk decreased by: num_cheque, num_transactions, num_abm."
"SYNID0100014489","Risk decreased by: num_eft, total_amount, num_wire."
"SYNID0100014851","Risk decreased by: num_transactions, num_eft, num_card."
"SYNID0100015045","Risk decreased by: num_eft, num_transactions, income."
"SYNID0100015109","Risk decreased by: num_abm, num_eft, num_transactions."
"SYNID0100015225","Risk decreased by: max_amount, std_amount, avg_amount."
"SYNID0100016064","Risk decreased by: total_amount, num_wire, std_amount."
"SYNID0100016314","Risk decreased by: total_amount, num_wire, avg_amount."
"SYNID0100016895","Risk decreased by: num_transactions, num_emt, num_card."
"SYNID0100017219","Risk decreased by: max_amount, std_amount, num_transactions."
"SYNID0100017804","Risk decreased by: total_amount, avg_amount, num_eft."
"SYNID0100018428","Risk decreased by: num_abm, num_transactions, num_wire."
"SYNID0100018441","Risk decreased by: total_amount, num_abm, num_wire."
"SYNID0100018558","Risk decreased by: num_cheque, num_eft, num_wire."
"SYNID0100018651","Risk decreased by: num_eft, num_transactions, num_abm."
"SYNID0100018816","Risk decreased by: income, total_amount, num_eft."
"SYNID0100018982","Risk decreased by: num_abm, num_cheque, num_emt."
"SYNID0100019186","Risk decreased by: total_amount, avg_amount, num_wire."
"SYNID0100019260","Risk decreased by: num_transactions, num_eft, num_card."
"SYNID0100019419","Risk decreased by: num_cheque, num_abm, max_amount."
"SYNID0100019645","Risk decreased by: max_amount, std_amount, avg_amount."
"SYNID0100019726","Risk decreased by: num_transactions, num_card, num_wire."
"SYNID0100019883","Risk decreased by: num_eft, num_transactions, max_amount."
"SYNID0100020142","Risk decreased by: num_cheque, max_amount, num_abm."
"SYNID0100020166","Risk decreased by: total_amount, num_eft, num_wire."
"SYNID0100020197","Risk decreased by: num_eft, num_cheque, num_transactions."
"SYNID0100020265","Risk decreased by: num_eft, num_wire, std_amount."
"SYNID0100020773","Risk decreased by: max_amount, num_eft, std_amount."
"SYNID0100021218","Risk decreased by: num_abm, num_cheque, num_eft."
"SYNID0100021236","Risk decreased by: total_amount, num_cheque, num_eft."
"SYNID0100021299","Risk decreased by: income, num_cheque, max_amount."
"SYNID0100021463","Risk decreased by: num_cheque, total_amount, avg_amount."
"SYNID0100022238","Risk decreased by: total_amount, num_transactions, num_wire."
"SYNID0100022248","Risk decreased by: income, num_transactions, num_eft."
"SYNID0100022308","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100022897","Risk decreased by: max_amount, num_eft, num_transactions."
"SYNID0100023259","Risk decreased by: num_abm, num_wire, num_debit."
"SYNID0100023475","Risk decreased by: total_amount, num_cheque, avg_amount."
"SYNID0100023734","Risk decreased by: num_cheque, num_emt, max_amount."
"SYNID0100023889","Risk decreased by: num_westernunion, num_eft, num_transactions."
"SYNID0100024437","Risk decreased by: total_amount, num_wire, num_emt."
"SYNID0100024598","Risk decreased by: num_abm, num_transactions, num_card."
"SYNID0100025173","Risk decreased by: total_amount, avg_amount, std_amount."
"SYNID0100025567","Risk decreased by: num_cheque, num_emt, max_amount."
"SYNID0100025619","Risk decreased by: num_eft, num_emt, max_amount."
"SYNID0100025622","Risk decreased by: num_transactions, total_amount, num_card."
"SYNID0100025820","Risk increased by: total_amount, income, num_abm."
"SYNID0100026243","Risk decreased by: num_cheque, total_amount, num_abm."
"SYNID0100026488","Risk decreased by: income, num_cheque, max_amount."
"SYNID0100026603","Risk decreased by: num_transactions, num_abm, num_eft."
"SYNID0100026730","Risk decreased by: total_amount, income, num_wire."
"SYNID0100027385","Risk decreased by: total_amount, num_transactions, num_eft."
"SYNID0100028117","Risk decreased by: num_emt, num_eft, num_transactions."
"SYNID0100028203","Risk decreased by: total_amount, num_wire, num_cheque."
"SYNID0100028625","Risk decreased by: num_transactions, num_card, num_abm."
"SYNID0100028682","Risk decreased by: income, total_amount, num_transactions."
"SYNID0100028784","Risk decreased by: num_cheque, max_amount, num_eft."
"SYNID0100028955","Risk decreased by: max_amount, num_eft, income."
"SYNID0100029550","Risk decreased by: num_eft, total_amount, num_emt."
"SYNID0100029659","Risk decreased by: num_cheque, max_amount, std_amount."
"SYNID0100029977","Risk decreased by: num_transactions, num_eft, income."
"SYNID0100030522","Risk decreased by: num_eft, num_abm, max_amount."
"SYNID0100030983","Risk decreased by: num_eft, max_amount, num_abm."
"SYNID0100030996","Risk decreased by: num_transactions, num_eft, num_abm."
"SYNID0100031148","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100031276","Risk decreased by: num_eft, num_transactions, max_amount."
"SYNID0100031448","Risk decreased by: max_amount, num_cheque, std_amount."
"SYNID0100031720","Risk decreased by: num_eft, num_transactions, num_abm."
"SYNID0100031724","Risk decreased by: num_transactions, num_eft, num_card."
"SYNID0100031730","Risk decreased by: num_eft, max_amount, std_amount."
"SYNID0100031829","Risk decreased by: num_eft, num_emt, num_transactions."
"SYNID0100032192","Risk decreased by: num_eft, num_cheque, max_amount."
"SYNID0100032279","Risk decreased by: income, num_westernunion, max_amount."
"SYNID0100032627","Risk decreased by: num_abm, num_eft, total_amount."
"SYNID0100033322","Risk decreased by: num_cheque, num_abm, num_transactions."
"SYNID0100033763","Risk decreased by: total_amount, num_cheque, std_amount."
"SYNID0100033846","Risk decreased by: max_amount, std_amount, total_amount."
"SYNID0100033968","Risk decreased by: num_eft, num_transactions, num_wire."
"SYNID0100035506","Risk decreased by: num_eft, num_abm, income."
"SYNID0100035641","Risk decreased by: num_transactions, num_abm, num_card."
"SYNID0100035690","Risk decreased by: max_amount, std_amount, avg_amount."
"SYNID0100035703","Risk decreased by: num_abm, num_emt, max_amount."
"SYNID0100036197","Risk decreased by: total_amount, num_eft, num_wire."
"SYNID0100036671","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100036688","Risk decreased by: total_amount, num_transactions, num_wire."
"SYNID0100036773","Risk decreased by: max_amount, std_amount, num_abm."
"SYNID0100036935","Risk decreased by: num_eft, num_cheque, max_amount."
"SYNID0100037007","Risk decreased by: income, num_abm, num_transactions."
"SYNID0100037208","Risk decreased by: income, num_transactions, num_abm."
"SYNID0100037226","Risk decreased by: max_amount, num_cheque, std_amount."
"SYNID0100037366","Risk decreased by: num_abm, num_eft, income."
"SYNID0100037477","Risk decreased by: total_amount, num_abm, income."
"SYNID0100037509","Risk decreased by: income, total_amount, num_wire."
"SYNID0100037607","Risk decreased by: income, num_eft, num_abm."
"SYNID0100037666","Risk decreased by: total_amount, num_wire, avg_amount."
"SYNID0100037728","Risk decreased by: max_amount, num_abm, num_transactions."
"SYNID0100037869","Risk decreased by: num_transactions, num_abm, num_eft."
"SYNID0100037890","Risk decreased by: num_eft, max_amount, num_transactions."
"SYNID0100038038","Risk decreased by: num_transactions, num_eft, num_card."
"SYNID0100038086","Risk decreased by: income, num_transactions, num_emt."
"SYNID0100038539","Risk decreased by: num_emt, num_abm, total_amount."
"SYNID0100038708","Risk decreased by: total_amount, num_wire, avg_amount."
"SYNID0100038801","Risk decreased by: total_amount, income, num_wire."
"SYNID0100038880","Risk decreased by: income, total_amount, num_transactions."
"SYNID0100038978","Risk decreased by: num_transactions, num_emt, num_card."
"SYNID0100039084","Risk decreased by: num_emt, num_transactions, num_wire."
"SYNID0100039312","Risk decreased by: num_eft, max_amount, total_amount."
"SYNID0100039424","Risk decreased by: num_eft, num_emt, num_wire."
"SYNID0100039780","Risk decreased by: max_amount, std_amount, num_eft."
"SYNID0100040148","Risk decreased by: num_eft, max_amount, num_transactions."
"SYNID0100040316","Risk decreased by: total_amount, avg_amount, std_amount."
"SYNID0100040454","Risk decreased by: max_amount, num_eft, std_amount."
"SYNID0100040792","Risk decreased by: max_amount, std_amount, income."
"SYNID0100040885","Risk decreased by: total_amount, num_abm, num_transactions."
"SYNID0100040970","Risk decreased by: num_cheque, num_eft, total_amount."
"SYNID0100041064","Risk decreased by: num_cheque, max_amount, num_eft."
"SYNID0100041327","Risk decreased by: total_amount, std_amount, avg_amount."
"SYNID0100041519","Risk decreased by: num_eft, max_amount, std_amount."
"SYNID0100041539","Risk decreased by: max_amount, num_cheque, std_amount."
"SYNID0100042124","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100042256","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100042517","Risk decreased by: num_transactions, num_card, num_wire."
"SYNID0100042626","Risk decreased by: income, max_amount, num_transactions."
"SYNID0100042902","Risk decreased by: num_eft, num_transactions, num_abm."
"SYNID0100042905","Risk decreased by: num_transactions, num_eft, num_emt."
"SYNID0100043003","Risk decreased by: num_abm, num_eft, max_amount."
"SYNID0100043540","Risk decreased by: total_amount, num_transactions, num_wire."
"SYNID0100043914","Risk decreased by: income, total_amount, num_abm."
"SYNID0100044500","Risk decreased by: num_eft, num_wire, num_debit."
"SYNID0100044704","Risk decreased by: total_amount, num_transactions, num_wire."
"SYNID0100045225","Risk decreased by: max_amount, income, std_amount."
"SYNID0100045411","Risk decreased by: num_eft, total_amount, num_wire."
"SYNID0100045578","Risk decreased by: num_cheque, max_amount, num_transactions."
"SYNID0100045811","Risk decreased by: num_abm, income, num_transactions."
"SYNID0100046345","Risk decreased by: total_amount, num_eft, num_wire."
"SYNID0100046511","Risk decreased by: num_cheque, max_amount, std_amount."
"SYNID0100046583","Risk decreased by: num_eft, total_amount, num_wire."
"SYNID0100046681","Risk decreased by: income, num_eft, total_amount."
"SYNID0100046751","Risk decreased by: num_cheque, num_eft, num_transactions."
"SYNID0100046933","Risk decreased by: num_eft, num_cheque, max_amount."
"SYNID0100047082","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100047241","Risk decreased by: num_emt, num_transactions, num_wire."
"SYNID0100047421","Risk decreased by: max_amount, income, num_eft."
"SYNID0100047746","Risk decreased by: num_eft, max_amount, num_transactions."
"SYNID0100047938","Risk decreased by: total_amount, num_cheque, num_abm."
"SYNID0100048054","Risk decreased by: total_amount, num_wire, num_emt."
"SYNID0100048110","Risk decreased by: num_abm, num_eft, num_wire."
"SYNID0100048201","Risk decreased by: total_amount, avg_amount, num_wire."
"SYNID0100048220","Risk decreased by: num_eft, num_emt, num_transactions."
"SYNID0100048513","Risk decreased by: total_amount, num_abm, num_wire."
"SYNID0100048554","Risk decreased by: total_amount, num_eft, num_wire."
"SYNID0100048602","Risk decreased by: num_eft, avg_amount, std_amount."
"SYNID0100048631","Risk decreased by: num_emt, num_transactions, num_wire."
"SYNID0100048646","Risk decreased by: num_abm, num_cheque, num_transactions."
"SYNID0100049026","Risk decreased by: num_cheque, num_eft, num_emt."
"SYNID0100049262","Risk decreased by: num_eft, max_amount, num_emt."
"SYNID0100049538","Risk decreased by: max_amount, std_amount, income."
"SYNID0100049761","Risk decreased by: num_abm, num_transactions, num_eft."
"SYNID0100049825","Risk decreased by: num_cheque, num_abm, total_amount."
"SYNID0100050100","Risk decreased by: total_amount, num_wire, num_emt."
"SYNID0100050622","Risk decreased by: income, num_abm, total_amount."
"SYNID0100050795","Risk decreased by: num_eft, avg_amount, std_amount."
"SYNID0100050922","Risk decreased by: total_amount, num_wire, num_abm."
"SYNID0100051035","Risk decreased by: income, total_amount, num_wire."
"SYNID0100051037","Risk decreased by: num_cheque, num_eft, max_amount."
"SYNID0100051071","Risk decreased by: total_amount, num_transactions, num_wire."
"SYNID0100051199","Risk decreased by: income, num_abm, num_transactions."
"SYNID0100051414","Risk decreased by: num_emt, num_transactions, num_wire."
"SYNID0100051424","Risk decreased by: num_transactions, num_eft, num_emt."
"SYNID0100051465","Risk decreased by: num_transactions, num_emt, num_cheque."
"SYNID0100052024","Risk decreased by: num_eft, avg_amount, num_wire."
"SYNID0100052418","Risk decreased by: total_amount, num_wire, num_abm."
"SYNID0100052442","Risk decreased by: num_cheque, num_eft, num_abm."
"SYNID0100052942","Risk decreased by: num_cheque, num_transactions, max_amount."
"SYNID0100053671","Risk decreased by: num_eft, max_amount, num_wire."
"SYNID0100053896","Risk increased by: total_amount, income, num_cheque."
"SYNID0100054434","Risk decreased by: num_cheque, num_abm, num_transactions."
"SYNID0100054859","Risk decreased by: num_eft, num_abm, max_amount."
"SYNID0100054894","Risk decreased by: num_transactions, num_eft, num_card."
"SYNID0100055597","Risk decreased by: num_cheque, total_amount, num_abm."
"SYNID0100055665","Risk decreased by: num_transactions, num_emt, num_card."
"SYNID0100056156","Risk decreased by: num_transactions, num_eft, num_abm."
"SYNID0100056283","Risk decreased by: num_eft, num_transactions, num_card."
"SYNID0100056875","Risk decreased by: num_cheque, income, num_transactions."
"SYNID0100057662","Risk decreased by: num_emt, num_transactions, num_wire."
"SYNID0100058090","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100058456","Risk decreased by: income, num_eft, num_transactions."
"SYNID0100058587","Risk decreased by: total_amount, num_eft, num_wire."
"SYNID0100059315","Risk decreased by: total_amount, avg_amount, num_wire."
"SYNID0100059367","Risk decreased by: num_transactions, num_card, num_wire."
"SYNID0100059490","Risk decreased by: num_cheque, max_amount, std_amount."
"SYNID0100059769","Risk decreased by: income, num_cheque, num_eft."
"SYNID0100060456","Risk decreased by: max_amount, num_eft, num_cheque."
"SYNID0100060458","Risk decreased by: max_amount, num_eft, num_cheque."
"SYNID0100060562","Risk decreased by: total_amount, num_wire, avg_amount."
"SYNID0100060727","Risk decreased by: max_amount, std_amount, num_emt."
"SYNID0100060883","Risk decreased by: num_cheque, num_eft, max_amount."
"SYNID0100060969","Risk decreased by: num_cheque, num_transactions, num_card."
"SYNID0100061097","Risk decreased by: num_cheque, num_transactions, num_emt."
"SYNID0100062156","Risk decreased by: income, total_amount, num_eft."
"SYNID0100062402","Risk decreased by: num_eft, num_abm, num_emt."
"SYNID0100062584","Risk decreased by: max_amount, num_transactions, num_card."
"SYNID0100063099","Risk decreased by: income, num_emt, num_abm."
"SYNID0100063274","Risk decreased by: total_amount, num_eft, num_wire."
"SYNID0100063316","Risk decreased by: total_amount, num_westernunion, num_wire."
"SYNID0100063360","Risk decreased by: num_cheque, num_transactions, num_eft."
"SYNID0100063472","Risk decreased by: num_eft, num_wire, std_amount."
"SYNID0100063874","Risk decreased by: num_eft, num_transactions, num_card."
"SYNID0100063994","Risk decreased by: num_eft, num_emt, num_transactions."
"SYNID0100064304","Risk decreased by: total_amount, num_transactions, num_wire."
"SYNID0100064470","Risk decreased by: num_transactions, num_wire, num_card."
"SYNID0100064485","Risk decreased by: num_transactions, num_card, num_wire."
"SYNID0100065426","Risk decreased by: total_amount, avg_amount, num_wire."
"SYNID0100065920","Risk decreased by: total_amount, num_eft, num_wire."
"SYNID0100066045","Risk decreased by: income, max_amount, num_transactions."
"SYNID0100067005","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100067029","Risk decreased by: max_amount, num_cheque, num_eft."
"SYNID0100067162","Risk decreased by: total_amount, avg_amount, num_wire."
"SYNID0100067177","Risk decreased by: num_emt, num_wire, num_abm."
"SYNID0100067217","Risk decreased by: num_eft, num_transactions, num_wire."
"SYNID0100067250","Risk decreased by: total_amount, num_abm, num_wire."
"SYNID0100067531","Risk decreased by: income, num_emt, max_amount."
"SYNID0100067628","Risk decreased by: max_amount, std_amount, num_eft."
"SYNID0100067668","Risk decreased by: total_amount, num_wire, num_emt."
"SYNID0100067868","Risk decreased by: max_amount, num_eft, num_emt."
"SYNID0100068308","Risk decreased by: num_eft, num_transactions, max_amount."
"SYNID0100068500","Risk decreased by: total_amount, num_abm, max_amount."
"SYNID0100068537","Risk decreased by: income, max_amount, num_emt."
"SYNID0100068610","Risk decreased by: num_transactions, num_emt, num_eft."
"SYNID0100068662","Risk decreased by: income, num_eft, num_abm."
"SYNID0100068749","Risk decreased by: income, num_eft, max_amount."
"SYNID0100068783","Risk decreased by: income, num_transactions, num_emt."
"SYNID0100068792","Risk decreased by: total_amount, num_eft, num_emt."
"SYNID0100068815","Risk increased by: total_amount, income, num_cheque."
"SYNID0100068827","Risk decreased by: total_amount, num_wire, avg_amount."
"SYNID0100069423","Risk decreased by: num_transactions, num_abm, max_amount."
"SYNID0100069524","Risk decreased by: num_eft, income, num_transactions."
"SYNID0100069844","Risk decreased by: num_cheque, num_eft, max_amount."
"SYNID0100069957","Risk decreased by: num_cheque, num_eft, num_abm."
"SYNID0100069965","Risk decreased by: num_eft, num_transactions, num_wire."
"SYNID0100070134","Risk decreased by: total_amount, num_abm, income."
"SYNID0100070399","Risk decreased by: income, total_amount, num_emt."
"SYNID0100070470","Risk decreased by: total_amount, num_cheque, num_wire."
"SYNID0100070564","Risk decreased by: max_amount, num_transactions, num_eft."
"SYNID0100070637","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100071116","Risk decreased by: total_amount, income, std_amount."
"SYNID0100071235","Risk decreased by: num_transactions, num_abm, num_emt."
"SYNID0100071380","Risk decreased by: num_transactions, num_eft, num_wire."
"SYNID0100071621","Risk decreased by: max_amount, num_cheque, std_amount."
"SYNID0100071649","Risk decreased by: num_transactions, num_eft, num_card."
"SYNID0100072177","Risk decreased by: total_amount, num_wire, num_card."
"SYNID0100072346","Risk decreased by: num_eft, total_amount, num_emt."
"SYNID0100072688","Risk decreased by: income, total_amount, num_wire."
"SYNID0100073103","Risk decreased by: num_eft, num_transactions, max_amount."
"SYNID0100073359","Risk decreased by: max_amount, num_eft, num_transactions."
"SYNID0100073582","Risk decreased by: income, total_amount, num_abm."
"SYNID0100073852","Risk decreased by: income, num_eft, total_amount."
"SYNID0100074035","Risk decreased by: num_cheque, num_transactions, total_amount."
"SYNID0100074225","Risk decreased by: income, max_amount, num_eft."
"SYNID0100074354","Risk decreased by: num_eft, num_wire, total_amount."
"SYNID0100075150","Risk decreased by: income, num_cheque, max_amount."
"SYNID0100075153","Risk decreased by: income, num_transactions, num_abm."
"SYNID0100075323","Risk decreased by: total_amount, num_transactions, num_wire."
"SYNID0100075482","Risk decreased by: num_eft, num_abm, num_transactions."
"SYNID0100075839","Risk decreased by: max_amount, num_eft, std_amount."
"SYNID0100076341","Risk decreased by: income, total_amount, num_abm."
"SYNID0100076516","Risk decreased by: total_amount, num_cheque, num_wire."
"SYNID0100076652","Risk decreased by: num_eft, num_wire, max_amount."
"SYNID0100076913","Risk decreased by: num_cheque, max_amount, num_eft."
"SYNID0100077134","Risk decreased by: num_eft, num_wire, num_emt."
"SYNID0100077243","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100077523","Risk decreased by: num_eft, num_abm, num_transactions."
"SYNID0100077995","Risk decreased by: income, total_amount, num_wire."
"SYNID0100078139","Risk decreased by: num_transactions, num_eft, num_emt."
"SYNID0100078203","Risk decreased by: total_amount, num_cheque, num_wire."
"SYNID0100078265","Risk decreased by: num_westernunion, num_transactions, num_eft."
"SYNID0100078395","Risk decreased by: num_transactions, num_eft, num_abm."
"SYNID0100078409","Risk decreased by: num_abm, num_transactions, num_eft."
"SYNID0100078509","Risk decreased by: num_transactions, num_abm, income."
"SYNID0100078564","Risk decreased by: num_eft, num_wire, num_transactions."
"SYNID0100078622","Risk increased by: total_amount, income, num_cheque."
"SYNID0100078650","Risk decreased by: income, num_eft, max_amount."
"SYNID0100079311","Risk decreased by: max_amount, num_cheque, num_transactions."
"SYNID0100079374","Risk decreased by: income, num_transactions, num_eft."
"SYNID0100079439","Risk decreased by: num_transactions, income, num_card."
"SYNID0100079518","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100079658","Risk decreased by: num_transactions, num_emt, num_card."
"SYNID0100080063","Risk decreased by: max_amount, num_cheque, std_amount."
"SYNID0100080298","Risk decreased by: num_eft, total_amount, num_wire."
"SYNID0100080577","Risk decreased by: num_eft, num_abm, max_amount."
"SYNID0100080937","Risk decreased by: num_eft, num_transactions, num_emt."
"SYNID0100081225","Risk decreased by: income, num_eft, num_wire."
"SYNID0100081265","Risk decreased by: num_eft, num_transactions, num_emt."
"SYNID0100081360","Risk decreased by: num_cheque, num_transactions, num_abm."
"SYNID0100082216","Risk decreased by: total_amount, num_cheque, num_wire."
"SYNID0100082291","Risk decreased by: max_amount, num_eft, income."
"SYNID0100082343","Risk decreased by: num_abm, num_transactions, num_emt."
"SYNID0100082541","Risk decreased by: num_eft, num_emt, num_transactions."
"SYNID0100083124","Risk decreased by: num_cheque, num_eft, max_amount."
"SYNID0100083243","Risk decreased by: income, num_eft, num_emt."
"SYNID0100083294","Risk decreased by: num_cheque, max_amount, num_transactions."
"SYNID0100083585","Risk decreased by: num_eft, total_amount, max_amount."
"SYNID0100083736","Risk decreased by: max_amount, std_amount, avg_amount."
"SYNID0100084083","Risk decreased by: num_westernunion, num_cheque, num_transactions."
"SYNID0100084135","Risk decreased by: income, max_amount, num_eft."
"SYNID0100084277","Risk decreased by: num_transactions, max_amount, num_abm."
"SYNID0100084306","Risk decreased by: income, total_amount, num_wire."
"SYNID0100084308","Risk decreased by: num_transactions, num_eft, max_amount."
"SYNID0100084693","Risk decreased by: total_amount, num_cheque, num_wire."
"SYNID0100085002","Risk decreased by: max_amount, num_abm, std_amount."
"SYNID0100085106","Risk decreased by: income, total_amount, num_abm."
"SYNID0100085416","Risk decreased by: max_amount, std_amount, avg_amount."
"SYNID0100085712","Risk decreased by: num_eft, num_wire, num_debit."
"SYNID0100085836","Risk decreased by: num_abm, num_transactions, num_emt."
"SYNID0100086014","Risk decreased by: income, num_transactions, num_card."
"SYNID0100087043","Risk decreased by: num_abm, total_amount, num_wire."
"SYNID0100087342","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100087425","Risk decreased by: num_eft, num_transactions, num_card."
"SYNID0100087546","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100087564","Risk decreased by: num_eft, income, num_transactions."
"SYNID0100087809","Risk decreased by: num_eft, num_abm, num_wire."
"SYNID0100088272","Risk decreased by: num_cheque, max_amount, num_eft."
"SYNID0100088455","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100088505","Risk decreased by: income, num_cheque, num_eft."
"SYNID0100088603","Risk decreased by: num_transactions, num_card, num_wire."
"SYNID0100088987","Risk decreased by: num_transactions, num_card, num_wire."
"SYNID0100089434","Risk decreased by: num_eft, max_amount, std_amount."
"SYNID0100089552","Risk decreased by: total_amount, num_emt, num_wire."
"SYNID0100089992","Risk decreased by: num_eft, num_transactions, num_cheque."
"SYNID0100090190","Risk decreased by: num_transactions, num_eft, num_abm."
"SYNID0100090388","Risk decreased by: income, num_cheque, max_amount."
"SYNID0100090759","Risk decreased by: income, num_abm, num_emt."
"SYNID0100090794","Risk decreased by: num_eft, max_amount, num_transactions."
"SYNID0100090868","Risk decreased by: num_cheque, num_eft, num_transactions."
"SYNID0100091306","Risk decreased by: num_eft, max_amount, num_emt."
"SYNID0100091570","Risk decreased by: income, num_eft, num_transactions."
"SYNID0100091865","Risk decreased by: num_cheque, num_eft, num_wire."
"SYNID0100091953","Risk decreased by: num_eft, max_amount, num_wire."
"SYNID0100092221","Risk decreased by: total_amount, num_wire, num_debit."
"SYNID0100092236","Risk decreased by: income, total_amount, num_cheque."
"SYNID0100092359","Risk decreased by: total_amount, max_amount, num_transactions."
"SYNID0100092463","Risk decreased by: num_cheque, max_amount, income."
"SYNID0100092493","Risk decreased by: num_cheque, total_amount, num_wire."
"SYNID0100092711","Risk decreased by: max_amount, num_transactions, num_emt."
"SYNID0100092825","Risk decreased by: total_amount, num_emt, num_wire."
